k,diff-to-upper-bound
1,1.1875
2,1.75
3,1.1875
4,1.3125
5,1.75
6,1.6875
7,1.1875
8,1.3125
9,1.4375
10,1.5
11,1.75
12,1.71875
13,1.6875
14,1.65625
15,1.1875
16,1.28125
17,1.375
18,1.4375
19,1.5
20,1.53125
21,1.5625
22,1.59375
23,1.75
24,1.734375
25,1.71875
26,1.703125
27,1.6875
28,1.671875
29,1.65625
30,1.640625
31,1.1875
32,1.25
33,1.3125
34,1.359375
35,1.40625
36,1.4375
37,1.46875
38,1.5
39,1.53125
40,1.546875
41,1.5625
42,1.578125
43,1.59375
44,1.609375
45,1.625
46,1.640625
47,1.75
48,1.7421875
49,1.734375
50,1.7265625
51,1.71875
52,1.7109375
53,1.703125
54,1.6953125
55,1.6875
56,1.6796875
57,1.671875
58,1.6640625
59,1.65625
60,1.6484375
61,1.640625
62,1.6328125
63,1.1875
64,1.2265625
65,1.265625
66,1.296875
67,1.328125
68,1.3515625
69,1.375
70,1.3984375
71,1.421875
72,1.4375
73,1.453125
74,1.46875
75,1.484375
76,1.5
77,1.515625
78,1.53125
79,1.546875
80,1.5546875
81,1.5625
82,1.5703125
83,1.578125
84,1.5859375
85,1.59375
86,1.6015625
87,1.609375
88,1.6171875
89,1.625
90,1.6328125
91,1.640625
92,1.6484375
93,1.65625
94,1.6640625
95,1.75
96,1.74609375
97,1.7421875
98,1.73828125
99,1.734375
100,1.73046875
101,1.7265625
102,1.72265625
103,1.71875
104,1.71484375
105,1.7109375
106,1.70703125
107,1.703125
108,1.69921875
109,1.6953125
110,1.69140625
111,1.6875
112,1.68359375
113,1.6796875
114,1.67578125
115,1.671875
116,1.66796875
117,1.6640625
118,1.66015625
119,1.65625
120,1.65234375
121,1.6484375
122,1.64453125
123,1.640625
124,1.63671875
125,1.6328125
126,1.62890625
127,1.1875
128,1.2109375
129,1.234375
130,1.25390625
131,1.2734375
132,1.2890625
133,1.3046875
134,1.3203125
135,1.3359375
136,1.34765625
137,1.359375
138,1.37109375
139,1.3828125
140,1.39453125
141,1.40625
142,1.41796875
143,1.4296875
144,1.4375
145,1.4453125
146,1.453125
147,1.4609375
148,1.46875
149,1.4765625
150,1.484375
151,1.4921875
152,1.5
153,1.5078125
154,1.515625
155,1.5234375
156,1.53125
157,1.5390625
158,1.546875
159,1.5546875
160,1.55859375
161,1.5625
162,1.56640625
163,1.5703125
164,1.57421875
165,1.578125
166,1.58203125
167,1.5859375
168,1.58984375
169,1.59375
170,1.59765625
171,1.6015625
172,1.60546875
173,1.609375
174,1.61328125
175,1.6171875
176,1.62109375
177,1.625
178,1.62890625
179,1.6328125
180,1.63671875
181,1.640625
182,1.64453125
183,1.6484375
184,1.65234375
185,1.65625
186,1.66015625
187,1.6640625
188,1.66796875
189,1.671875
190,1.67578125
191,1.75
192,1.748046875
193,1.74609375
194,1.744140625
195,1.7421875
196,1.740234375
197,1.73828125
198,1.736328125
199,1.734375
200,1.732421875
201,1.73046875
202,1.728515625
203,1.7265625
204,1.724609375
205,1.72265625
206,1.720703125
207,1.71875
208,1.716796875
209,1.71484375
210,1.712890625
211,1.7109375
212,1.708984375
213,1.70703125
214,1.705078125
215,1.703125
216,1.701171875
217,1.69921875
218,1.697265625
219,1.6953125
220,1.693359375
221,1.69140625
222,1.689453125
223,1.6875
224,1.685546875
225,1.68359375
226,1.681640625
227,1.6796875
228,1.677734375
229,1.67578125
230,1.673828125
231,1.671875
232,1.669921875
233,1.66796875
234,1.666015625
235,1.6640625
236,1.662109375
237,1.66015625
238,1.658203125
239,1.65625
240,1.654296875
241,1.65234375
242,1.650390625
243,1.6484375
244,1.646484375
245,1.64453125
246,1.642578125
247,1.640625
248,1.638671875
249,1.63671875
250,1.634765625
251,1.6328125
252,1.630859375
253,1.62890625
254,1.626953125
255,1.1875
256,1.201171875
257,1.21484375
258,1.2265625
259,1.23828125
260,1.248046875
261,1.2578125
262,1.267578125
263,1.27734375
264,1.28515625
265,1.29296875
266,1.30078125
267,1.30859375
268,1.31640625
269,1.32421875
270,1.33203125
271,1.33984375
272,1.345703125
273,1.3515625
274,1.357421875
275,1.36328125
276,1.369140625
277,1.375
278,1.380859375
279,1.38671875
280,1.392578125
281,1.3984375
282,1.404296875
283,1.41015625
284,1.416015625
285,1.421875
286,1.427734375
287,1.43359375
288,1.4375
289,1.44140625
290,1.4453125
291,1.44921875
292,1.453125
293,1.45703125
294,1.4609375
295,1.46484375
296,1.46875
297,1.47265625
298,1.4765625
299,1.48046875
300,1.484375
301,1.48828125
302,1.4921875
303,1.49609375
304,1.5
305,1.50390625
306,1.5078125
307,1.51171875
308,1.515625
309,1.51953125
310,1.5234375
311,1.52734375
312,1.53125
313,1.53515625
314,1.5390625
315,1.54296875
316,1.546875
317,1.55078125
318,1.5546875
319,1.55859375
320,1.560546875
321,1.5625
322,1.564453125
323,1.56640625
324,1.568359375
325,1.5703125
326,1.572265625
327,1.57421875
328,1.576171875
329,1.578125
330,1.580078125
331,1.58203125
332,1.583984375
333,1.5859375
334,1.587890625
335,1.58984375
336,1.591796875
337,1.59375
338,1.595703125
339,1.59765625
340,1.599609375
341,1.6015625
342,1.603515625
343,1.60546875
344,1.607421875
345,1.609375
346,1.611328125
347,1.61328125
348,1.615234375
349,1.6171875
350,1.619140625
351,1.62109375
352,1.623046875
353,1.625
354,1.626953125
355,1.62890625
356,1.630859375
357,1.6328125
358,1.634765625
359,1.63671875
360,1.638671875
361,1.640625
362,1.642578125
363,1.64453125
364,1.646484375
365,1.6484375
366,1.650390625
367,1.65234375
368,1.654296875
369,1.65625
370,1.658203125
371,1.66015625
372,1.662109375
373,1.6640625
374,1.666015625
375,1.66796875
376,1.669921875
377,1.671875
378,1.673828125
379,1.67578125
380,1.677734375
381,1.6796875
382,1.681640625
383,1.75
384,1.7490234375
385,1.748046875
386,1.7470703125
387,1.74609375
388,1.7451171875
389,1.744140625
390,1.7431640625
391,1.7421875
392,1.7412109375
393,1.740234375
394,1.7392578125
395,1.73828125
396,1.7373046875
397,1.736328125
398,1.7353515625
399,1.734375
400,1.7333984375
401,1.732421875
402,1.7314453125
