n,k,mmb_items,ummb_items
1537749,355082,30,18
1633209,1011,17,10
1640395,287,14,8
1702496,1675,15,10
1723979,192,12,7
1738320,1232,14,10
1738320,1453,14,10
1752652,1021,16,10
1910241,882,14,9
2170018,1053,15,9
2334718,1370,21,10
2408709,109,14,6
2509273,2063,18,10
2523629,1020,16,9
2963694,403,13,8
3241169,939,16,9
3243565,1351,16,10
3253144,1431,16,10
3253144,1445,16,10
3291450,2085,17,10
3310607,1133,15,11
3310607,1272,15,11
3341735,1194,15,9
3341735,1780,18,11
3344131,1900,16,11
3353707,193,13,7
3353707,896,17,9
3356100,103,11,7
3360896,403,12,8
3368075,524,14,8
3368075,1161,15,9
3370468,978,14,9
3375265,2060,18,10
3408775,55,10,5
3411166,342,13,8
3427938,150,12,7
3459079,359,16,8
3459079,691,18,9
3466277,91,11,6
3468672,894,13,9
3471072,1521,14,10
3511741,243,12,8
3511741,2024,18,11
3516539,642,16,9
3523733,52,10,5
3526129,1635,16,11
3540517,722,15,10
3554904,1650,18,11
3557302,1794,17,10
3578886,545,18,9
3619454,234,10,7
3717539,177,12,8
3717539,1817,17,10
3719939,192,14,7
3743921,1745,19,10
3775033,1576,16,10
3873006,1472,17,10
3875393,1334,15,10
3875393,1926,16,10
3877779,1484,16,10
3880170,133,12,7
3882556,1620,17,11
3887338,1468,19,10
3889733,1135,16,10
3918445,2202,17,10
3951947,380,15,9
3954342,1197,15,10
3954342,2022,18,11
3994836,2325,18,11
4018753,731,15,10
4030707,957,16,9
4033102,1942,15,10
4035496,538,14,9
4037889,708,13,9
4052244,949,14,9
4073770,1196,16,9
4107277,1070,15,11
4114449,1211,19,10
4145555,1277,16,9
4149643,10,5,3
4157521,1460,19,10
4161056,9,8,3
4163111,152,11,6
4171246,4,5,2
4171646,2,3,1
4176675,176,12,7
4212605,774,14,9
4213205,1,1,0
4213717,2,4,2
4214269,2,5,2
4214813,4,5,2
4215305,8,5,2
4217394,1496,16,10
4219788,1230,16,10
4226974,1581,16,10
4229366,1819,17,10
4231761,1619,17,10
4234153,1785,17,10
4234153,2312,17,10
4241321,864,16,9
4241321,2174,18,11
4243709,1798,17,10
4248495,1404,16,10
4255645,2141,18,11
4258040,2196,16,10
4260437,1828,18,10
4270027,859,16,9
4272419,1428,17,10
4289177,1581,17,10
4291568,96,10,6
4327444,1332,19,10
4332231,145,10,7
4344203,1836,17,10
4346593,1900,17,10
4353772,332,14,8
4356166,1148,17,10
4358561,2004,18,10
4363349,246,14,7
4372912,1380,16,9
4420592,18,8,5
4485157,11,7,3
4516012,20,8,4
4520343,9,6,4
4533251,12,7,3
4533507,136,14,7
4547837,7,7,3
4559989,13,7,3
4601840,11,7,3
4611127,9,7,4
4619850,13,8,4
4622166,2198,18,11
4622166,2236,18,11
4622166,2248,18,11
4622166,2286,18,11
4622166,2316,18,11
4623182,18,7,4
4643515,11,6,3
4658427,16,8,4
4662101,9,7,3
4665716,9,6,3
4673692,175,13,8
4674879,1,2,0
4675263,223,12,8
4722679,2256,20,11
4751921,13,7,3
4798678,11,6,3
4802341,20,8,3
4803757,14,8,4
4804018,221,13,8
4804018,233,13,8
4804018,245,13,8
4807040,10,8,3
4807776,9,8,3
4813947,12,8,4
4819432,10,7,4
4823601,14,7,3
4856303,14,7,3
4872613,14,8,3
4879548,7,6,3
4880244,19,6,3
4918796,10,5,3
4920209,18,9,5
4920609,116,11,6
4926235,10,6,3
4949174,11,6,3
4952899,11,6,3
5004599,5,5,2
5006939,6,6,3
5009209,8,5,2
5009609,112,11,7
5019348,12,6,3
5031706,12,7,4
5048778,19,8,4
5063431,16,7,4
5077473,5,5,2
5084091,5,6,3
5113536,16,8,3
5132853,19,7,3
5138831,10,7,3
5150559,12,8,3
5157545,18,8,4
5163039,10,8,3
5165055,15,8,3
5178975,13,8,3
5180716,15,8,4
5190423,11,6,4
5219784,14,7,4
5220184,137,12,7
5220184,145,12,7
5221315,9,6,3
5221723,163,12,7
5223203,10,6,3
5224275,14,6,3
5227642,22313,22,15
5237897,14,8,4
5267256,11,7,4
5269365,18,7,3
5281859,10,6,3
5283754,8,5,2
5287692,20,8,4
5294310,20,7,3
5305365,19,7,3
5311422,6,5,2
5328935,13,7,4
5329967,10,7,3
5335745,9,6,2
5336145,353,15,8
5338920,8,5,2
5356088,8,5,2
5379092,13,6,3
5385479,10,7,4
5421983,14,8,3
5423929,15,8,4
5434603,12,8,4
5435839,20,10,4
5437671,11,7,4
5438346,12,8,4
5439066,12,7,4
5439458,50,10,6
5440306,509,14,9
5440306,691,14,9
5442717,11,7,3
5443280,6,6,2
5445754,13,8,4
5447186,17,7,3
5447621,9,7,3
5448069,11,7,3
5448765,8,7,3
5449837,1027,18,9
5452704,14,8,3
5454168,20,6,4
5460266,9,5,2
5465803,13,8,4
5478572,16,8,4
5491420,18,7,4
5500470,9,6,3
5501862,11,6,3
5505472,15,8,3
5520308,14,6,3
5520900,15,7,3
5524844,17,8,4
5525244,195,13,7
5525940,20,6,3
5529110,16,6,3
5534749,17,8,4
5537547,12,8,4
5538306,9,6,2
5539914,16,8,4
5564608,145,9,7
5566488,19,6,4
5566888,145,10,6
5567771,10,6,3
5568339,12,6,3
5573158,9,6,3
5579132,16,8,4
5580348,13,8,4
5610978,11,8,3
5651785,11,8,4
5652521,15,8,4
5653892,17,7,3
5661341,15,8,4
5662852,13,7,3
5680668,15,7,4
5684610,17,8,3
5687755,12,8,4
5708180,10,6,3
5720186,12,8,4
5721114,15,7,4
5721602,10,6,2
5722826,10,5,2
5724098,15,8,3
5724418,231,15,7
