ethBlock,logIndex,timestamp,txHash,version,nonce,channelID,beefyClient,latestBeefyBlock,parentNumber,leafBlock,paraBlock,k,n,i,mmr_items_onchain,mmr_items_formula,leafProofOrder,headProofWidth,headProofLen,msgLeafProofLen,success,relayer,decode,rootSameTx,rootEthBlock
20028515,408,1717625303,0xe64b97379a474d9b1fe23985ea03d032bbe25efb7b998c6810baba4edc0af691,v1,1,0x0000000000000000000000000000000000000000000000000000000000000001,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21088749,20733667,20733668,2558435,355082,1537749,1182667,20,20,396235,50,6,1,1,0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,direct,0,20028014
20028517,279,1717625327,0xacf7be8cc2ca3ce1ea542f4a6dfb7108276eae096125b83cb8a4ebd586a51c98,v1,2,0x0000000000000000000000000000000000000000000000000000000000000001,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21088749,20733667,20733668,2558435,355082,1537749,1182667,20,20,396235,50,6,1,1,0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,direct,0,20028014
20075630,79,1718193875,0x4e91a62d64b839b746030da33d9af559f8871c75ec589c20c651ccdd8d7b383b,v1,1,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21184209,21183198,21183199,2777144,1011,1633209,1632198,17,17,4038,50,6,0,1,0x000000009b801e488378ae17eec3c7c2ba73266c,scan,0,20075624
20079207,455,1718237075,0xb2d2f8b75558fccf57c882b13cbae46e2fda299153fd724cbd2c947289ab1689,v1,2,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21191395,21191108,21191109,2781032,287,1640395,1640108,14,14,428,50,6,0,1,0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,direct,0,20079201
20110198,200,1718611475,0x49f59fa9c2b0a2ff93989eb8e16beaee700213e418072d42fe77601a67ba082f,v1,3,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21253496,21251821,21251822,2811052,1675,1702496,1700821,19,19,3029,50,6,0,1,0x00001b0bcca9bc88774000692def9dd6452afb9f,scan,0,20110196
20121901,260,1718753087,0x868dd36be21b77b791cf4d4f14131cb4347fe29090873b92a66c10075bb7f2f8,v1,4,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21274979,21274787,21274788,2822326,192,1723979,1723787,16,16,907,50,6,0,1,0x00001b0bcca9bc88774000692def9dd6452afb9f,scan,0,20120903
20128071,409,1718827691,0xa7dcdf5428789315830cdfb1ce4b1624f470ef20e4193316158971c6e54d2d0e,v1,5,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21289320,21287867,21287868,2828783,1453,1738320,1736867,15,15,1187,50,6,0,1,0xa8467374a4288582ca894ef0127f48b35d0f35d0,direct,0,20128050
20128073,218,1718827715,0x5fc89365aa418f43e49a33faa1af3655a021bde77af6be89030b1c60dbaa172d,v1,6,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21289320,21288088,21288089,2828892,1232,1738320,1737088,15,15,1408,50,6,0,1,0xa8467374a4288582ca894ef0127f48b35d0f35d0,direct,0,20128050
20135207,312,1718913923,0x5ef2dc4b84fe923c4a3ca22f69973acfff7f83e5ec05b967d79807ca24f8c95c,v1,7,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21303652,21302631,21302632,2836096,1021,1752652,1751631,18,18,1615,50,6,0,1,0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,direct,0,20135196
20213942,84,1719864311,0xb740c8ba8704f081b2a215ff766338184be5a52ef1bc04d0a0db17b4404e434c,v1,8,0xc173fac324158e77fb5840738a1a541f633cbec8884c6a601c567d2b376a0539,0x6eD05bAa904df3DE117EcFa638d4CB84e1B8A00C,21461241,21460359,21460360,2913725,882,1910241,1909359,16,16,1647,50,6,0,1,0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,direct,0,20213933
