month,messages,k_p50,k_p90,mmr_mean,mmb_mean,eras
2024-06,9,1232,355082,17.11,18.00,era 1
2024-07,3,1053,1370,16.00,16.67,era 1
2024-08,3,1020,2063,16.00,16.00,era 1
2024-09,1,403,403,18.00,13.00,era 1
2024-10,36,939,1900,17.33,14.75,era 1
2024-11,25,1334,2022,18.16,15.68,era 1
2024-12,49,1070,2004,15.39,12.94,era 1
2025-01,41,14,2236,14.61,9.34,era 1
2025-02,44,13,137,14.59,7.64,era 1
2025-03,75,14,50,14.61,7.69,era 1
2025-04,114,18,1073,16.13,9.89,era 1
2025-05,138,16,360,14.78,8.72,era 1
2025-06,479,60,496,16.16,10.39,era 1
2025-07,1138,140,380,16.63,11.03,era 1
2025-08,872,44,250,16.50,9.46,era 1
2025-09,734,37,257,16.98,9.45,era 1
2025-10,1251,17,212,13.89,8.28,era 1/era 2
2025-11,1249,7,104,13.39,6.40,era 2
2025-12,1011,6,82,13.49,5.84,era 2
2026-01,678,5,48,14.36,5.51,era 2
2026-02,702,6,102,14.62,5.95,era 2
2026-03,475,6,102,13.79,5.89,era 2
2026-04,454,139,1598,16.57,10.59,era 2/era 3
2026-05,442,73,1169,16.19,10.48,era 3
2026-06,686,28,685,16.95,9.71,era 3
2026-07,481,8,1050,15.70,8.58,era 3
2026-08,526,7,674,14.79,7.56,era 3
2026-09,425,6,583,15.36,7.33,era 3
