era,relayer,messages,k_p50,k_mean,k_p90
era 1 (0x6eD05bAa…),0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,2332,54,462,295
era 1 (0x6eD05bAa…),0xc0606dfc2c85f2e8dae4f0e24abf99887725f76e,700,70,201,398
era 1 (0x6eD05bAa…),0x5709fab0715f1bcbd6ac007d2c574982bacfb71d,433,56,166,360
era 1 (0x6eD05bAa…),0xec3cb8b367a0325d23bf84f57a7d3493cf6865f4,426,60,198,443
era 1 (0x6eD05bAa…),0x302f0b71b8ad3cf6dd90adb668e49b2168d652fd,311,50,95,247
era 1 (0x6eD05bAa…),0x091229c0b1465dd8d9977f1c45d368bbc34b8405,139,22,69,188
era 2 (0x1817874f…),0x1f1819c3c68f9533adbb8e51c8e8428a818d693e,3119,6,32,97
era 2 (0x1817874f…),0x091229c0b1465dd8d9977f1c45d368bbc34b8405,1295,6,38,99
era 2 (0x1817874f…),0xc0606dfc2c85f2e8dae4f0e24abf99887725f76e,202,7,52,187
era 2 (0x1817874f…),0xa33b73f3c8d76b25a61d33ee2ad1bd363da45961,60,5,10,8
era 2 (0x1817874f…),0xba9bc9a8aa87872f7b990031bde984a00b9ced49,55,6,125,75
era 2 (0x1817874f…),0x6a57bb244aa54d404c56b858cba2359f616f0ab7,52,4,98,94
era 2 (0x1817874f…),0x30f4c4cef474896a8cda97ee17f38b02a22b9b0f,23,6,22,20
era 3 (0x7cfc5C8b…),0xba9bc9a8aa87872f7b990031bde984a00b9ced49,2526,31,318,1088
era 3 (0x7cfc5C8b…),0xc633a00ff626f867de9b7642da3095451076db07,343,5,5,8
era 3 (0x7cfc5C8b…),0x091229c0b1465dd8d9977f1c45d368bbc34b8405,45,140,665,2564
