k_from,k_to,messages,mmr_mean,mmb_mean,ummb_mean,lemma_mean,balanced_mean
1,1,573,11.74,2.07,0.47,2.12,23.99
2,3,1104,13.13,3.84,1.39,3.98,23.98
4,7,2473,13.87,5.30,2.25,5.56,23.95
8,15,2003,14.65,6.60,3.06,6.86,23.59
16,31,1208,15.30,7.91,3.98,8.17,23.60
32,63,772,15.81,9.49,5.08,9.76,23.53
64,127,943,16.13,10.87,6.10,11.17,23.61
128,255,1374,16.97,12.31,7.15,12.56,23.47
256,511,893,17.38,13.39,7.95,13.67,23.41
512,1023,353,18.12,14.88,9.07,15.23,23.67
1024,2047,338,18.51,16.36,10.03,16.59,23.53
2048,4095,101,19.03,17.55,10.73,17.58,23.66
4096,8191,3,17.67,17.00,11.33,18.94,24.00
16384,32767,1,21.00,22.00,15.00,22.10,23.00
262144,355082,2,20.00,30.00,18.00,27.58,21.00
